"time","dx","rho_1","rho_2","x","der(dx)","der(rho_1)","der(rho_2)","der(x)","dm_1","dm_2","drho_1","drho_2"
0.0047,0.1497273037517081,1000.634570042434,1004.884824320783,0.004594269427537927,-8502.005829736805,-73.8884778671119,75.04134465614875,0.1497273037517081,75.59437477117925,75.76211082596612,-73.8884778671119,75.04134465614875
0.004719999999999999,-0.02031019728092751,1000.634786657704,1004.884607787726,0.00459556287962922,-8499.439158071729,95.47681942461449,-96.61363882722941,-0.02031019728092751,75.59249922865054,75.7602401462329,95.47681942461449,-96.61363882722941
0.00474,-0.1901599289715094,1000.638388761756,1004.880960022553,0.004593457121348018,-8483.240922303674,264.6270757402957,-268.0480786415935,-0.1901599289715094,75.56130393275524,75.72871930318276,264.6270757402957,-268.0480786415935
0.004759999999999999,-0.3595495957002969,1000.645369642622,1004.873887915384,0.00458795835259882,-8453.441049567031,433.2945116473935,-438.9836094892908,-0.3595495957002969,75.50081072686251,75.66757084171863,433.2945116473935,-438.9836094892908
0.00478,-0.5282076200676231,1000.655716769521,1004.863404453367,0.004579078706881759,-8410.093291490566,601.2120352961374,-609.1426548398759,-0.5282076200676231,75.41105786339284,75.57683532028307,601.2120352961374,-609.1426548398759
0.0048,-0.6958637418894813,1000.669412447994,1004.849527971647,0.004566835560567049,-8353.27240988722,768.1138068161935,-778.2490530665724,-0.6958637418894813,75.29209452331457,75.45656504582124,768.1138068161935,-778.2490530665724
0.00482,-0.8622494513363911,1000.686433936035,1004.83228201972,0.004551251402920641,-8283.073672856401,933.7356430270232,-946.0285206767542,-0.8622494513363911,75.14398006119146,75.3068231882242,933.7356430270232,-946.0285206767542
0.00484,-1.027098344028173,1000.706752803638,1004.811696097283,0.004532354530683976,-8199.615603849648,1097.815350194675,-1112.209045353572,-1.027098344028173,74.96678990855716,75.12769052613676,1097.815350194675,-1112.209045353572
0.004860000000000001,-1.190146571459374,1000.730335635371,1004.787804847567,0.004510178292603112,-8103.036958676492,1260.093143047292,-1276.52135879886,-1.190146571459374,74.76060987589607,74.9192588928387,1260.093143047292,-1276.52135879886
0.00488,-1.351133254218755,1000.757143965575,1004.760648132094,0.004484761161187819,-7993.49700049526,1420.312033543472,-1438.699379646906,-1.351133254218755,74.52553717940106,74.68163232477903,1420.312033543472,-1438.699379646906
0.004900000000000001,-1.509801001037324,1000.787133871616,1004.730271498596,0.004456147163855398,-7871.177243950175,1578.218327981453,-1598.480766974218,-1.509801001037324,74.26168456299214,74.41493175690503,1578.218327981453,-1598.480766974218
0.00492,-1.665896142640753,1000.820256702033,1004.696725346856,0.00442438510566396,-7736.278328219436,1733.561834497812,-1755.607169895599,-1.665896142640753,73.96917454146666,74.11928840259249,1733.561834497812,-1755.607169895599
0.004940000000000001,-1.819169265418117,1000.85645878786,1004.660065259329,0.00438952887951025,-7589.021250284579,1886.096377024275,-1909.824791376846,-1.819169265418117,73.64814261867342,73.79484738756075,1886.096377024275,-1909.824791376846
0.00496,-1.969375693952974,1000.895681335385,1004.620352123842,0.004351637582540546,-7429.647819974336,2035.580258482019,-2060.8848969879,-1.969375693952974,73.29873903269802,73.44176969370474,2035.580258482019,-2060.8848969879
0.00498,-2.116275522569028,1000.937861150663,1004.577651311039,0.004310774746811337,-7258.41756552593,2181.776272271155,-2208.54385484096,-2.116275522569028,72.92112316310968,73.06022577485076,2181.776272271155,-2208.54385484096
0.005,-2.259634430068354,1000.982930089978,1004.53203329654,0.004267008919337032,-7075.610068823306,2324.452502514222,-2352.563982100133,-2.259634430068354,72.51546933300781,72.65040206176997,2324.452502514222,-2352.563982100133
0.00502,-2.399223955788866,1001.030815320935,1004.483573365335,0.004220413386671001,-6881.523849242253,2463.382585271136,-2492.713834688851,-2.399223955788866,72.08196550965798,72.21249943727476,2463.382585271136,-2492.713834688851
0.00504,-2.534821383864593,1001.081439988337,1004.432350868533,0.004171065469743699,-6676.473546552921,2598.345579884588,-2628.768093105383,-2.534821383864593,71.62080833890958,71.74672765732598,2598.345579884588,-2628.768093105383
0.00506,-2.666210924514938,1001.134722421316,1004.378450103882,0.00411904736382322,-6460.793255887143,2729.127141346046,-2760.508776950267,-2.666210924514938,71.13221147220358,71.25331453540795,2729.127141346046,-2760.508776950267
0.00508,-2.793183554098771,1001.190576812936,1004.32195955973,0.004064445419785263,-6234.833658046959,2855.519351778151,-2887.725081879832,-2.793183554098771,70.61640065603949,70.73250043469731,2855.519351778151,-2887.725081879832
0.0051,-2.915537012412472,1001.248913595197,1004.262971505627,0.004007349757096852,-5998.960450734932,2977.320712322359,-3010.213377299938,-2.915537012412472,70.07361153110912,70.18453583361928,2977.320712322359,-3010.213377299938
0.00512,-3.033077067441631,1001.309638826723,1004.201582655218,0.003947854894616366,-5753.556886316639,3094.337404549483,-3127.778496003387,-3.033077067441631,69.50409668403347,69.60968891853005,3094.337404549483,-3127.778496003387
0.00514,-3.145617118313274,1001.372654893931,1004.137893402365,0.003886059023451796,-5499.02084568483,3206.382892511786,-3240.233324674175,-3.145617118313274,68.90812063871267,69.00824009122694,3206.382892511786,-3240.233324674175
0.005160000000000001,-3.252978319192033,1001.437860762018,1004.072007551874,0.003822063745621191,-5235.76379652168,3313.278048148317,-3347.398924546885,-3.252978319192033,68.2859589784152,68.38048100137664,3313.278048148317,-3347.398924546885
0.00518,-3.354990775020936,1001.505151539112,1004.004032772978,0.003755974521227563,-4964.212559980372,3414.852350251233,-3449.105741892157,-3.354990775020936,67.63790412286541,67.72672056743342,3414.852350251233,-3449.105741892157
0.0052,-3.451492944789472,1001.574419178122,1003.934079855789,0.003687899946428955,-4684.806425884901,3510.943294275207,-3545.192990426762,-3.451492944789472,66.96426038717732,67.0472797313225,3510.943294275207,-3545.192990426762
0.00522,-3.542331984491419,1001.645552583733,1003.86226259341,0.003617951642555658,-4397.996699510339,3601.39674346593,-3635.508988663154,-3.542331984491419,66.26534468850875,66.34249213753229,3601.39674346593,-3635.508988663154
0.00524,-3.627364761162121,1001.71843739191,1003.788697994882,0.00354624447077455,-4104.247558330983,3686.06795292981,-3719.912176960882,-3.627364761162121,65.5414906249854,65.61270821212671,3686.06795292981,-3719.912176960882
0.00526,-3.7064570573612,1001.792956644172,1003.713505594496,0.003472895852084073,-3804.03333007579,3764.820787527975,-3798.270293992639,-3.7064570573612,64.79304385628882,64.85829046406741,3764.820787527975,-3798.270293992639
0.00528,-3.779484284933189,1001.868990745973,1003.636807476927,0.003398025801269315,-3497.838619057068,3837.528449948,-3870.461084099505,-3.779484284933189,64.02036454774775,64.07961583336488,3837.528449948,-3870.461084099505
